사무용품 집계표,,
,,
품명,단위,단가
 노트북 받침대 , EA ,"45,000"
 탁상내지 , EA ,"5,000"
 반지고리 , EA ,"5,000"
 바늘 , EA ,"2,000"
 DIN 1.0mm 리필 , EA ,"7,000"
 CROSS볼펜심 , EA ,"8,000"
 흰봉투(이중봉투) , 묶음 ,"3,000"
 명찰케이스(소) , EA ,"1,000"
 결재판 , EA ,"3,500"
 숫자스티커 , EA ,"2,000"
 미세요 문구 아크릴패 , EA ,"3,100"
 파일속지 , 권 ,"10,000"
 인덱스속지 , EA ,"3,000"
  6알 파일 , 권 ,"3,000"
 클리어화일(20p) , 권 ,"3,000"
 클리어화일(40p) , EA ,"3,000"
 L홀더(투명) , 묶음 ,"3,000"
 케이스(jy - 502.7) , EA ,"8,500"
 삼각파일꽂이 , EA ,"4,000"
 제본용플라스틱링(10mm) , EA ,"5,001"
 TAPE 컷팅기 , EA ,"5,002"
 계산판 , EA ,"3,000"
 노란고무줄  , 팩 ,"1,000"
 스덴 집게(大) , EA ,"1,000"
 둥근자석 , EA ,"2,000"
 레이저포인트(레드) , EA ,"55,000"
 상장케이스 , EA ,"4,000"
 견출지 ,EA,"4,000"
 USB ( 8G) , EA ,"7,000"
 USB ( 16G) , EA ,"8,000"
 USB ( 32G) , EA ,"16,000"
 흑표지 , EA ,"3,000"
 A6 클립보드 ,EA,"1,500"
 클립보드 (검정색) , EA ,"3,000"
 좌물쇠 , EA ,"5,000"
 명함집 , ea ,"9,000"
 콘센트 , EA ,"8,000"
 동아 cronix3 0.7리필 , ea ,500
 볼펜0.38 (검정 ) , ea ,"1,500"
 일산볼펜0.38 리필 , ea ,"1,200"
 제트스트림 볼펜0.7 , ea ,"3,200"
 줄지 연습장 , 권 , - 
 모니터메모보드 , ea ,"6,000"
 책꽂이 , ea ,"3,500"
 마스킹테이프(종이) , ea ,"3,000"
 신분증케이스 , ea ,"50,000"
 홈매트 , ea ,"6,000"
 홈매트 기계 , ea ,"15,000"
 줄자(사이즈 치수 재는용) , ea ,"5,000"
 클리어포켓(내지) , ea ,"10,000"
 제브라 타프리클립 0.5(식당) , ea ,"1,500"
 부착형벽걸이 , ea ,"1,600"
 해면기(종이넘길때) , ea ,"2,000"
 학생용칼(도로코칼) , ea ,300
 파일가방(손잡이하늘색) , ea ,"14,500"
 썬스타 , ea ,"7,000"
 부착용꽂이(A4) , ea ,"9,800"
 세금계산서철(검정) , ea ,"1,200"
 세금계산서철(핑크) , ea ,"1,200"
 테이프컷팅기 , ea ,"3,000"
 커팅매트 4절 , ea ,"20,000"
 라벨터치테이프(12mm) - 흰색 , ea ,"20,000"
 오색동지 포장지 , ea ,500
 탁상 달력 (大) 내지 , ea ,"13,000"
 탁상 달력 (大) , ea ,"13,004"
 벽걸이 시계 , ea ,"30,000"
 포스트잇 인텍스탭(빳빳한) , ea ,"4,500"
 제침기(기본형) , ea ,"2,500"
 자동잉크(일부인잉크) , ea ,"3,000"
 바인더 라벨(글쓸수있는) , ea ,"3,000"
 PUNCHLESS FILE , ea ,"6,000"
 날클립기계 , ea ,"6,027"
 면봉 , 묶음 ,"3,000"
 날클립침 (대) , ea ,"3,000"
 파일  , ea ,"2,500"
 라벨지 , 통 ,"18,000"
 접이식 재활용거치대 , ea ,"41,000"
 분무기 , ea ,"4,500"
 롤 비닐  , ea ,"5,000"
합 계,,
